IEEE_0,IEEE_1,x,y
-29.317769653888234,-5.068848423818931,0.0,0.0
3.6315994498883306,6.3935274534350945,100.0,0.0
18.63670543774088,21.572941581721718,200.0,0.0
28.532336548757872,20.969910427099915,300.0,0.0
47.882088207538565,20.63820351312062,400.0,0.0
50.058081807116906,19.784943794307644,500.0,0.0
82.04222238934322,34.93031078450715,600.0,0.0
72.10022042269912,51.363822199050944,700.0,0.0
54.904059011343705,41.281566032706976,800.0,0.0
56.34242506488207,34.72042314785894,900.0,0.0
88.82802582071935,57.548481095536104,1000.0,0.0
75.17733782111087,71.99422143810283,1100.0,0.0
56.10719352124743,61.147657213092685,1200.0,0.0
65.38660235620499,42.15067118828005,1300.0,0.0
58.306320449781076,43.427597142909,1400.0,0.0
51.46949184620887,59.92284557085319,1500.0,0.0
35.64363202193882,66.30799534908047,1600.0,0.0
26.437760043369327,89.10201082033805,1700.0,0.0
23.11570361661063,72.61036459628559,1800.0,0.0
13.93865021628755,79.47304668568326,1900.0,0.0
-4.954426501116165,84.73001934958558,2000.0,0.0
14.039651120421569,76.52307805502927,2000.0,100.0
18.293533833637973,103.98845707669162,1900.0,100.0
50.65351798707327,92.12188879323591,1800.0,100.0
57.30029294736958,66.36973535712748,1700.0,100.0
83.51662247014751,92.00900189117638,1600.0,100.0
66.46506321983412,103.8592180944669,1500.0,100.0
72.55855825372818,62.42026394048733,1400.0,100.0
92.48949136522845,71.7432788206766,1300.0,100.0
94.35724837934366,62.88669592956984,1200.0,100.0
98.45588667617247,79.53133398399973,1100.0,100.0
105.5178452244867,47.08849910073249,1000.0,100.0
85.33573205460218,67.682891107484,900.0,100.0
99.46527402898793,48.34468420373031,800.0,100.0
86.09082074078079,57.66422380762394,700.0,100.0
89.01751222980528,38.0198260212262,600.0,100.0
64.18279448355548,16.355493196948608,500.0,100.0
49.83774774490022,48.452729269047154,400.0,100.0
57.84817388710729,15.66290154609727,300.0,100.0
41.540026316133016,30.52178090310903,200.0,100.0
34.82817799308313,12.081468097982683,100.0,100.0
14.88980932687951,10.919450837892608,0.0,100.0
31.55406087135889,3.397656946193516,0.0,200.0
58.666067164916186,-2.5960555075855964,100.0,200.0
34.14823501713491,29.811174548633694,200.0,200.0
58.203710137999025,23.25800367787648,300.0,200.0
78.35508044275618,41.04245779784588,400.0,200.0
83.64076058688907,54.415036366470886,500.0,200.0
95.29928922625757,69.62474208701605,600.0,200.0
100.58674405663885,59.391734018206705,700.0,200.0
109.44994519590695,67.91229509535883,800.0,200.0
99.55895189826703,74.68501180123504,900.0,200.0
106.91089590315251,65.44574219183441,1000.0,200.0
97.92042268686482,48.67945527468737,1100.0,200.0
121.12730775874127,69.52289420211348,1200.0,200.0
79.44257701276175,75.43476334751547,1300.0,200.0
104.3103274642295,95.47278743372469,1400.0,200.0
82.9125391294315,87.88113824862509,1500.0,200.0
54.81177748729684,95.78001501695005,1600.0,200.0
68.0917128904158,80.43609079748506,1700.0,200.0
59.94331296883352,84.98135160324382,1800.0,200.0
40.63660466949933,97.96463707290859,1900.0,200.0
30.199445046414514,92.31798724777487,2000.0,200.0
40.35722493419187,94.0550586654815,2000.0,300.0
45.42217636843887,96.45133892001941,1900.0,300.0
50.66368468129607,99.22814696382966,1800.0,300.0
67.0395167463442,104.5198563233871,1700.0,300.0
93.69492705561636,104.74790656433407,1600.0,300.0
90.43909971353568,96.05235080643148,1500.0,300.0
125.10053873106708,93.03193100452779,1400.0,300.0
109.37786530083642,88.1390561831305,1300.0,300.0
117.70133567208727,71.93416064593661,1200.0,300.0
112.37633206680904,58.008197067587574,1100.0,300.0
141.02370255476015,74.80772958221154,1000.0,300.0
141.47833665501577,66.0478218537603,900.0,300.0
124.38921275189831,58.94260683973808,800.0,300.0
106.95850758613473,64.77124196792089,700.0,300.0
